k,iteration_mean,iteration_stdev,silhouette_scores_mean,silhouette_scores_stdev,calinski_harabaz_scores_mean,calinski_harabaz_scores_stdev
2,6.41,1.2878217456173229,0.29638433882015175,0.0002388827826390297,118.32698744436749,0.0021921701366915862
3,10.01,3.4509404368939633,0.28800050537147975,0.02541073782727815,80.87336662385913,2.358977253784827
4,12.39,5.057038299601493,0.2790573639056655,0.044233790994933936,67.3693855800232,5.131927772097886
5,12.66,4.682268292573202,0.2544922775903842,0.046689155104105796,58.42042571295101,2.757918860409233
