iteration_mean,iteration_stdev,silhouette_scores_mean,silhouette_scores_stdev,calinski_harabaz_scores_mean,calinski_harabaz_scores_stdev
6.7,2.5407785333546005,0.29644438897684877,2.6814433536895163e-17,118.32753851028676,1.7013505267554263e-14
6.6,2.4365635853109104,0.29644438897684877,2.0336374169789466e-17,118.32753851028677,2.612226993994162e-14
6.5,2.14556479181172,0.29644438897684877,2.6880397802714468e-17,118.32753851028677,2.6039122914200833e-14
6.475,1.9740301091409096,0.29644438897684877,2.572410884294769e-17,118.32753851028677,2.376841771076386e-14
6.52,1.8097242996700704,0.29644438897684877,2.467288149360218e-17,118.32753851028676,2.3891699632656216e-14
6.25,1.8376938385018862,0.29644438897684877,2.5636107199065385e-17,118.32753851028676,2.3033505705182476e-14
6.285714285714286,1.8583369309864999,0.29644438897684877,2.3761743533373625e-17,118.32753851028676,2.2404111030241976e-14
6.325,1.7915059784678575,0.29644438897684877,2.298986050423079e-17,118.32753851028676,2.1566649674512996e-14
6.322222222222222,1.753505495599067,0.29644438897684877,2.3869400164169452e-17,118.32753851028676,2.1414520425537432e-14
6.25,1.7019003045021899,0.29644438897684877,2.3245425342343452e-17,118.32753851028676,2.3019121221125414e-14
