k,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,recall_mean,recall_stdev,f1_score_mean,f1_score_stdev
1,0.8779285714285714,0.02572580710304082,0.8549761176818135,0.0337279730387183,0.9753303244520451,0.019029809264800898,0.910690846233366,0.019435465828347553
3,0.8746428571428572,0.02583136326200407,0.8466118013544164,0.03370009440801967,0.9826908428498716,0.012995210779371205,0.9091526232636861,0.019345929590342974
5,0.869,0.025947713945512516,0.8402117414023845,0.032786918747755696,0.9825940616419124,0.014102879724649993,0.9054303648612149,0.019433164618107547
7,0.8655714285714285,0.026694867586730946,0.8364502066956373,0.03344905489218785,0.9827465387766646,0.014201396372445656,0.9032656880281432,0.019480863859275274
9,0.8569285714285715,0.03214413978521492,0.8265164935395779,0.03980878201972195,0.9844410915638202,0.013831631005872843,0.8979307328154819,0.022698121865149353
11,0.8447857142857143,0.039553462511128575,0.8131556754508543,0.04637655268638468,0.9864138961049222,0.012371749343088021,0.8905651973494821,0.026904160466729915
13,0.8292857142857143,0.045837901048605446,0.7966907698167971,0.0503760198450159,0.9886139525228997,0.01176458663875444,0.8813261780258499,0.030301781023888474
15,0.8136428571428571,0.050620709147532215,0.7803141289425671,0.05331322785680246,0.9920032527925006,0.009872781034169198,0.8723640046987491,0.032500497453905396
17,0.7967857142857143,0.05536906960844924,0.7642216932772212,0.05598437813683429,0.9937900508605801,0.008331707540698823,0.862744903920709,0.03480222285547392
19,0.7802142857142857,0.05704225451581812,0.7488150905026272,0.05583978823761221,0.9952471751370692,0.0075235396594190325,0.8533487073040456,0.03551675903199055
21,0.7606428571428572,0.05719239375225311,0.7316481103174693,0.05445598350529311,0.9960413934870521,0.006878106575968208,0.8423763234644449,0.03529945339864903
23,0.7473571428571428,0.056859461401384155,0.7200619010947525,0.05332290630537361,0.9976047654358147,0.005489926236412359,0.8352147093854821,0.034937112677013556
25,0.7328571428571429,0.050833092550906366,0.7077779550274373,0.04745345660095126,0.9977077907490876,0.004942336867139521,0.8271312802971692,0.03158841482153592
27,0.7215714285714285,0.04839178220133795,0.6984038364785016,0.04456165024242941,0.9988039536886346,0.003722347815898659,0.8211753533931344,0.030383794762063467
29,0.7122857142857143,0.046458587256059586,0.6910312994998483,0.042744268044407216,0.9993511002089202,0.002581900155785983,0.8163031247967804,0.0294833348290632
31,0.7021428571428572,0.0438144642424181,0.6832277796206667,0.04029755988802814,0.999684141259048,0.001805298903386032,0.8110161488226385,0.028184210746270196
33,0.6940714285714286,0.04370322837830698,0.6772979248178544,0.039761842527588145,0.9997812574707148,0.0015394976165774776,0.80686647892713,0.028195101482846346
35,0.6857857142857143,0.0417422937660074,0.6712396161586259,0.03797939997236891,0.9998936170212765,0.0010638297872340387,0.8026333680913926,0.027212152954291684
37,0.6793571428571429,0.04097471202285132,0.6666468056097855,0.03737742140940884,1.0,0.0,0.7993874134511006,0.026957027186097018
39,0.6744285714285714,0.04057385721243461,0.6632126098076994,0.03696937760534409,1.0,0.0,0.7969190295968932,0.02677130018232056
41,0.6702142857142858,0.038593267827215394,0.6602253485971991,0.03555418291971022,1.0,0.0,0.7947967160563347,0.02583654197365827
43,0.665,0.03729544636442562,0.6566272012807888,0.03465683860063639,1.0,0.0,0.7922050712362041,0.025248850245915694
45,0.6607142857142857,0.03628689593694694,0.6537573427587986,0.033949711272289906,0.9997870171066048,0.0014991695052345914,0.7900568713442659,0.024766756780789986
47,0.6574285714285715,0.034991532385607996,0.6515095531687952,0.03311742177296877,0.9997870171066048,0.0014991695052345914,0.7884343019872051,0.02421282449910407
49,0.6545,0.03437840704803795,0.6495677081143227,0.03270140866568379,0.9996771269967146,0.0018460256176378936,0.7869839758778652,0.02394947976500204
51,0.6525714285714286,0.03399952708027168,0.6482905333140045,0.03242182480864001,0.9996806341278813,0.0018257792254219073,0.7860505141673139,0.02372611231624274
53,0.6502142857142857,0.032810604472052626,0.6467678037579457,0.03159455765900345,0.999350963798211,0.003398449888379172,0.784846502506401,0.023143556879247754
55,0.6477857142857143,0.032003385076574534,0.6451529962723477,0.031022826969773865,0.999350963798211,0.003398449888379172,0.7836695630745841,0.022768767802133303
57,0.6466428571428572,0.031233406231331525,0.6443387154142766,0.030417337307893057,0.9995707440179912,0.0026286340539835445,0.7831535046549277,0.022398443051478437
59,0.6462142857142857,0.031332251063559996,0.6440138388450504,0.030459806187795906,0.9997870171066048,0.0014991695052345914,0.7829818557294084,0.022490977149145955
61,0.6441428571428571,0.031215663469582332,0.6426463808777977,0.03036125270838874,0.9998969072164948,0.0010309278350515427,0.7820058831097978,0.022448787451785936
63,0.6436428571428572,0.030792042251318905,0.6422816485171567,0.03003406202527157,1.0,0.0,0.7817788502409979,0.022279476697597632
65,0.6429285714285714,0.030600648872200587,0.6418148412403051,0.029892982061525734,1.0,0.0,0.7814359198875621,0.022193390827238216
67,0.6427857142857143,0.030414829325823706,0.641716706138195,0.02977953624528233,1.0,0.0,0.7813660980644499,0.022109855147317406
69,0.6423571428571428,0.02996691297107316,0.6414270298047277,0.029474903726534198,1.0,0.0,0.7811588825397924,0.021896784469884453
71,0.6422857142857142,0.02969785315409991,0.6413728346515334,0.02929566003843811,1.0,0.0,0.7811232800824506,0.021768018222146357
73,0.6419285714285714,0.02959311443868309,0.6411398632646678,0.029226017185942994,1.0,0.0,0.7809520124308692,0.02172003116627904
75,0.6414285714285715,0.029354352395090363,0.6408113335418621,0.029075394293849487,1.0,0.0,0.7807118646487112,0.02160827865637188
77,0.6411428571428571,0.02935645909119693,0.6406277611451212,0.029082748977734288,1.0,0.0,0.7805752371761208,0.02161418439366896
79,0.641,0.029277354242642654,0.6405337220906505,0.029029457193799575,1.0,0.0,0.7805066797202976,0.021577182808311605
81,0.6409285714285714,0.029158029465887084,0.6404843528903585,0.028950974513067967,1.0,0.0,0.7804720103752782,0.021519481282163216
83,0.641,0.029206858957845284,0.6405316293549012,0.02898229549644576,1.0,0.0,0.7805063438578875,0.0215425643134843
85,0.6405714285714286,0.029123101132667705,0.6402538540596094,0.028941620444820702,1.0,0.0,0.7803008940499777,0.021511585396948613
87,0.6403571428571428,0.029078739273151695,0.6401151079136691,0.028914124673450628,1.0,0.0,0.7801984039702389,0.02149244215867014
89,0.6402142857142857,0.029242744670300726,0.6400282631038027,0.029026229670319356,1.0,0.0,0.7801309541553741,0.021572577354532028
91,0.6400714285714286,0.02914105687221668,0.6399337101747173,0.028959341338695474,1.0,0.0,0.7800623130730586,0.021525557884780628
93,0.64,0.02907209245087587,0.6398859198355601,0.028913146671659215,1.0,0.0,0.7800279197667767,0.021493532916013084
95,0.6397857142857143,0.02871994229711075,0.6397384378211717,0.028669468907302993,1.0,0.0,0.7799241808623809,0.02132979069561488
97,0.6397857142857143,0.02871994229711075,0.6397384378211717,0.028669468907302993,1.0,0.0,0.7799241808623809,0.02132979069561488
99,0.6397857142857143,0.02871994229711075,0.6397384378211717,0.028669468907302993,1.0,0.0,0.7799241808623809,0.02132979069561488
101,0.6397142857142857,0.02866722756207252,0.639691161356629,0.028636483099283357,1.0,0.0,0.7798898473797716,0.021305529550183992
103,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
105,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
107,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
109,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
111,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
113,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
115,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
117,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
119,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
121,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
123,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
125,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
127,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
129,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
131,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
133,0.6396428571428572,0.02857819184021106,0.6396428571428572,0.02857819184021106,1.0,0.0,0.7798553658860626,0.02126417816033446
