k,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,recall_mean,recall_stdev,f1_score_mean,f1_score_stdev
1,0.9095714285714286,0.020157593905098827,0.8908836129095504,0.027961581567892503,0.9790471057505538,0.01564743343571217,0.9325523367745885,0.015478046492909254
2,0.9157142857142857,0.019396161746510692,0.9172663563015885,0.027644771626581778,0.9548883562414239,0.020560619311850027,0.9353069943483261,0.015383453188964443
3,0.9047142857142857,0.019322155726448596,0.8856002216600046,0.02730111036468318,0.9776931718005254,0.015344505245450503,0.9290442189901296,0.015009041499750604
4,0.9133571428571429,0.019545838063670076,0.9032560505940683,0.02796870431936242,0.9686669474469514,0.01522634271276241,0.9344974242446538,0.01535367970815717
5,0.9052857142857142,0.01879211754207359,0.8888530571584092,0.027210335588591327,0.973990861909723,0.013396419260782394,0.9291770949733128,0.01479030808529719
6,0.9136428571428571,0.019398685740324398,0.9010623298431326,0.026964562580163984,0.9718606686535987,0.01459770743053471,0.9348440278546645,0.015380072168266146
7,0.9062857142857143,0.020337291908631056,0.8896126651533001,0.027726771894600828,0.9746585365962072,0.012826569669980987,0.9299196764273614,0.01584602703559936
8,0.9118571428571428,0.020285023259168953,0.8983555096227778,0.027312335161270372,0.9724523277550589,0.014734812148739578,0.9336581009824982,0.015866156773675814
9,0.9033571428571429,0.0234046749281654,0.8858067551604347,0.030732780403216718,0.9749933588334423,0.0130483900062945,0.9279431903943004,0.01787178315877309
10,0.9083571428571429,0.022815957664304883,0.8933812346078589,0.02935310724567707,0.9731222090777456,0.014389779513058781,0.9312629196896116,0.017640877979900414
11,0.8985714285714286,0.02346064745426706,0.8794463079641417,0.03070938039695381,0.9755629676686214,0.01340041936647818,0.9246845086281247,0.01794716928778626
12,0.9023571428571429,0.023174541402198795,0.8851490490176093,0.02955606128162232,0.9739813246058958,0.01455415973535501,0.9271478513100074,0.01793314420746244
13,0.8925714285714286,0.023215978404266476,0.8720350137547715,0.03009974999444278,0.9754226695878686,0.013201214356916773,0.9205279204274925,0.018023328783836886
14,0.8951428571428571,0.022676050296742592,0.8759814332690877,0.02917773990020937,0.9742045161972706,0.01362672968514563,0.9221949625526358,0.01756899643175555
15,0.8862142857142857,0.02453977541055698,0.8642294492497856,0.03145538544471004,0.9756300402194573,0.013149467583101756,0.9162237017837326,0.018983632706674972
16,0.8889285714285714,0.02479299995635267,0.8683614651825314,0.03126072786850217,0.9743342818885182,0.014273021114763569,0.9179718426562656,0.01912248894469479
17,0.8802142857142857,0.025781038097334463,0.8569088199167685,0.032751650592546956,0.9761018586832132,0.012309801308420089,0.9122710600383735,0.019684462971067438
18,883,0.02635290052164917,0.8611595883902654,0.03338326497143016,0.9746694124829529,0.01254275358447637,0.9140365859407154,0.02004129466645594
19,872,0.026174335837312622,0.8476392728715633,0.033281966660337045,0.975563211333616,0.012322244768120005,0.9067402563173249,0.020088031515303664
20,0.8763571428571428,0.0258776078397469,0.8531906161767818,0.03294197808072874,0.9748049865089745,0.012555824339170631,0.9095832836054459,0.019757652777647756
21,0.8680714285714286,0.026657678602777315,0.8423187151963483,0.033275290414290976,0.9770325328931132,0.012808496390892207,0.904310746101434,0.020260767314530973
22,0.8722857142857143,0.027284887002712196,0.8473985165263506,0.03407396022935117,0.9767003665792664,0.013012897338509912,0.9070714610004038,0.02064463922995071
23,0.8654285714285714,0.026253760614487278,0.8387727597627911,0.03297860578979091,0.9778987805377024,0.012703167562544287,0.9026342843417318,0.020076092640459724
